language,size,has_issues,has_projects,has_downloads,has_wiki,has_pages,archived,disabled,open_issues_count,allow_forking,open_issues,network_count,subscribers_count,stargazers_count,watchers_count,forks_count,contributors_count
Ruby,87.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
Ruby,1412.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,1.0,1.0,0.0,1.0
PHP,8521.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,0.0
C,96.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
PHP,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0
C,1399.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,178.0,2.0,2.0,2.0,0.0,3.0
TeX,232.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0
JavaScript,134.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,2.0,2.0,2.0,1.0,2.0
Ruby,13092.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19713.0,4.0,3.0,3.0,0.0,30.0
Java,3600.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,7.0,1.0,1.0
Ruby,132.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
Ruby,96.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Ruby,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,6.0,0.0,0.0
Ruby,124.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,2.0,2.0,2.0,17.0,1.0
JavaScript,2096.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,21.0,21.0,3.0,1.0
Ruby,1012.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,58.0,1.0,58.0,172.0,28.0,611.0,611.0,172.0,30.0
Ruby,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0
Vim script,219.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,4.0,2.0,1.0
Ruby,327.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,2.0,2.0,2.0,0.0,3.0
Ruby,1914.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,356.0,2.0,2.0,2.0,0.0,26.0
VimL,3552.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0
C,2300.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,8.0,83.0,83.0,17.0,7.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,8.0,0.0,1.0
Perl,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,0.0,1.0
JavaScript,3654.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,108.0,2.0,2.0,2.0,0.0,8.0
Ruby,1487.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,216.0,2.0,2.0,2.0,0.0,18.0
,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
Ruby,102.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0
Erlang,77.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,19.0,19.0,3.0,1.0
Python,5028.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,8.0,8.0,2.0,1.0
,196.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,5.0,0.0,1.0
,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
C,4036.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,4.0,25.0,3.0,57.0,57.0,25.0,3.0
,128.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
VimL,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
Python,40891.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,0.0
Ruby,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0
Ruby,116.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0
Java,564.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0
JavaScript,186.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,235.0,2.0,7.0,7.0,2.0,7.0
Ruby,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,2.0,2.0,2.0,0.0,2.0
JavaScript,2112.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0
Ruby,16309.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0
Emacs Lisp,6027.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,12.0,12.0,5.0,1.0
Ruby,83.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,161.0,2.0,2.0,2.0,0.0,3.0
Ruby,112.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0
Ruby,108.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,5.0,5.0,1.0,2.0
Ruby,96.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,406.0,2.0,2.0,2.0,0.0,1.0
Ruby,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,5.0,1.0,1.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0
Ruby,3003.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,697.0,2.0,2.0,2.0,0.0,2.0
Emacs Lisp,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0
JavaScript,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
JavaScript,92.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,0.0,1.0
Ruby,102.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,61.0,61.0,12.0,2.0
Emacs Lisp,453.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0
JavaScript,280.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
Ruby,92.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0
Ruby,3144.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0
Ruby,83.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,8.0,8.0,1.0,2.0
,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,1.0
,248.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0
Ruby,83.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0
JavaScript,472.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,38.0,1.0,38.0,2.0,3.0,40.0,40.0,2.0,3.0
Python,124.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,0.0,1.0
JavaScript,132.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,5.0,1.0,0.0
Ruby,71.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,31.0,10.0,264.0,264.0,31.0,7.0
Ruby,1573.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,334.0,2.0,2.0,2.0,0.0,7.0
,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0
,116.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0
Ruby,874.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,274.0,2.0,2.0,2.0,1.0,7.0
Ruby,91.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,12.0,1.0,1.0
Ruby,1356.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0
Ruby,93.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,0.0,1.0
Ruby,91.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,3.0,0.0,1.0
Ruby,87.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
Ruby,1412.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,1.0,1.0,0.0,1.0
PHP,8521.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,0.0
C,96.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
PHP,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0
C,1399.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,178.0,2.0,2.0,2.0,0.0,3.0
TeX,232.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0
JavaScript,134.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,2.0,2.0,2.0,1.0,2.0
Ruby,13092.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19713.0,4.0,3.0,3.0,0.0,30.0
Java,3600.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,7.0,1.0,1.0
Ruby,132.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
Ruby,96.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Ruby,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,6.0,0.0,0.0
Ruby,124.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,2.0,2.0,2.0,17.0,1.0
JavaScript,2096.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,21.0,21.0,3.0,1.0
Ruby,1012.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,58.0,1.0,58.0,172.0,28.0,611.0,611.0,172.0,30.0
Ruby,94.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0
Vim script,219.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,4.0,2.0,1.0
Ruby,327.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,2.0,2.0,2.0,0.0,3.0
Ruby,1914.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,356.0,2.0,2.0,2.0,0.0,26.0
VimL,3552.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0
C,2300.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,8.0,83.0,83.0,17.0,7.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,8.0,0.0,1.0
Perl,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,0.0,1.0
JavaScript,3654.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,108.0,2.0,2.0,2.0,0.0,8.0
Ruby,1487.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,216.0,2.0,2.0,2.0,0.0,18.0
,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
Ruby,102.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0
Erlang,77.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,19.0,19.0,3.0,1.0
Python,5028.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,8.0,8.0,2.0,1.0
,196.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,5.0,0.0,1.0
,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
C,4036.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,4.0,25.0,3.0,57.0,57.0,25.0,3.0
,128.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
VimL,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
Python,40891.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,0.0
Ruby,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0
Ruby,116.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0
Java,564.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0
JavaScript,186.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,235.0,2.0,7.0,7.0,2.0,7.0
Ruby,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,2.0,2.0,2.0,0.0,2.0
JavaScript,2112.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0
Ruby,16309.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0
Emacs Lisp,6027.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,12.0,12.0,5.0,1.0
Ruby,83.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,161.0,2.0,2.0,2.0,0.0,3.0
Ruby,112.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0
Ruby,108.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,5.0,5.0,1.0,2.0
Ruby,96.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,406.0,2.0,2.0,2.0,0.0,1.0
Ruby,84.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,5.0,1.0,1.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0
Ruby,3003.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,697.0,2.0,2.0,2.0,0.0,2.0
Emacs Lisp,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0
,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,21.0,21.0,8.0,2.0
JavaScript,208.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,0.0,1.0
Visual Basic,825.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,103.0,2.0,2.0,2.0,0.0,0.0
Ruby,88.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,6.0,0.0,1.0
Ruby,976.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,493.0,4.0,3.0,3.0,1.0,10.0
Ruby,147.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,110.0,3.0,3.0,3.0,0.0,2.0
JavaScript,472.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0
C++,320.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
Ruby,198.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,228.0,2.0,2.0,2.0,1.0,3.0
Ruby,140.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,12.0,3.0,66.0,66.0,12.0,1.0
PHP,646.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,8.0,8.0,1.0,1.0
